datetime,timestamp_desc,source,event,message,parser,display_name,tag
2018-06-14T22:40:14.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:43:10.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:44:06.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:48:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:48:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:48:54.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:48:56.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:48:58.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:48:58.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:48:58.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:30.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
